tic,toc,msg,d
266121.62,266130.09,load data,8.470000000030268
266132.06,266133.5,turnstile db,1.4400000000023283
266130.09,266160.35,daily turnstile counts,30.259999999951106
266160.37,266195.4,latest weekly,35.03000000002794
266195.4,266195.93,combined weekly,0.529999999969732
266121.53,266195.96,all,74.42999999999302
