tic,toc,msg,d
23.71,26.84,load data,3.129999999999999
28.51,29.64,turnstile db,1.129999999999999
26.84,51.2,daily turnstile counts,24.360000000000003
51.2,81.04,latest weekly,29.840000000000003
81.04,81.5,combined weekly,0.45999999999999375
82.57,84.2,carto_api,1.6300000000000097
23.67,84.2,all,60.53
