linename,station,weekdate_2022,weekend_am_2022,weekend_pm_2022,weekday_am_2022,weekday_pm_2022,week,weekdate_bl,weekend_am_bl,weekend_pm_bl,weekday_am_bl,weekday_pm_bl,d_weekend_am,d_weekend_pm,d_weekday_am,d_weekday_pm,lat,lon
1,CANAL ST,2022-04-18T00:00:00Z,75,684,555,3193,16,2019-04-22T00:00:00Z,194,1480,1787,16227,0.3865979381443299,0.46216216216216216,0.310576385002798,0.19677081407530658,40.722854,-74.006277
BQ,7 AV,2022-04-04T00:00:00Z,243,1169,5194,4763,14,2019-04-08T00:00:00Z,721,3111,17624,10225,0.33703190013869627,0.3757634201221472,0.29471175669541533,0.46581907090464547,40.67710218,-73.97285279
BDFMNQRW,34 ST-HERALD SQ,2022-02-07T00:00:00Z,4306,17129,34062,78986,6,2020-02-10T00:00:00Z,9096,38811,101213,228734,0.47339489885664027,0.441343948880472,0.336537796528114,0.3453181424711674,40.7497894,-73.98777189
3,SARATOGA AV,2022-02-21T00:00:00Z,580,428,4013,1926,8,2019-02-25T00:00:00Z,1318,905,12238,4318,0.4400606980273141,0.47292817679558014,0.3279130576891649,0.4460398332561371,40.66152979,-73.91633025
R,BAY RIDGE AV,2022-01-31T00:00:00Z,1084,881,7740,3832,5,2020-02-03T00:00:00Z,2125,2073,18976,7380,0.5101176470588236,0.4249879401833092,0.4078836424957841,0.5192411924119241,40.63496667,-74.023377
G,MYRTLE-WILLOUGH,2022-02-07T00:00:00Z,254,616,3187,3332,6,2020-02-10T00:00:00Z,427,1468,6395,5933,0.594847775175644,0.4196185286103542,0.4983580922595778,0.5616045845272206,40.694619,-73.949067
245,149/GRAND CONC,2022-01-10T00:00:00Z,1197,1129,6172,8546,2,2020-01-13T00:00:00Z,2523,2543,15965,20505,0.47443519619500596,0.44396382225717657,0.38659567804572503,0.4167763960009754,40.81833014,-73.92672247
ACBD,125 ST,2022-04-11T00:00:00Z,886,3768,7905,18298,15,2019-04-15T00:00:00Z,1600,10006,16655,43651,0.55375,0.37657405556666,0.47463224256979886,0.41918856383588005,40.81107167,-73.952248
6,116 ST,2022-02-21T00:00:00Z,705,1884,4267,7509,8,2019-02-25T00:00:00Z,1198,4372,11172,18624,0.5884808013355592,0.4309240622140897,0.38193698532044396,0.40318943298969073,40.798629,-73.941617
6,3 AV 138 ST,2022-01-17T00:00:00Z,568,790,3543,3264,3,2020-01-20T00:00:00Z,1088,1771,8254,8817,0.5220588235294118,0.4460756634669678,0.42924642597528473,0.37019394351820345,40.810476,-73.926138
3,PENNSYLVANIA AV,2022-04-04T00:00:00Z,383,485,3573,2025,14,2019-04-08T00:00:00Z,590,896,8414,4183,0.6491525423728813,0.5412946428571429,0.42464939386736394,0.4841023189098733,40.66471445,-73.89488591
4,MOSHOLU PKWY,2022-04-11T00:00:00Z,872,671,7517,3466,15,2019-04-15T00:00:00Z,1594,1471,12843,7431,0.5470514429109159,0.45615227736233854,0.5852993848789224,0.46642443816444623,40.87975,-73.884655
6,PARKCHESTER,2022-01-10T00:00:00Z,1157,862,12918,4021,2,2020-01-13T00:00:00Z,2178,2125,28631,9475,0.5312213039485767,0.4056470588235294,0.4511892703712759,0.42437994722955147,40.833226,-73.860816
NRW,28 ST,2022-01-10T00:00:00Z,350,1123,1413,6068,2,2020-01-13T00:00:00Z,1093,4116,8079,29306,0.3202195791399817,0.2728377065111759,0.17489788340141108,0.20705657544530132,40.745454,-73.988698
C,CLINTON-WASH AV,2022-04-11T00:00:00Z,71,629,1529,3690,15,2019-04-15T00:00:00Z,89,594,4362,8066,0.797752808988764,1.0589225589225588,0.3505272810637322,0.45747582444830154,40.683263,-73.965838
25,INTERVALE AV,2022-03-07T00:00:00Z,262,240,2411,1782,10,2019-03-11T00:00:00Z,629,594,5371,2738,0.4165341812400636,0.40404040404040403,0.44889219884565257,0.6508400292184076,40.82214213,-73.89661738
1,18 ST,2022-02-28T00:00:00Z,216,1255,2005,6784,9,2019-03-04T00:00:00Z,503,3386,7915,19101,0.4294234592445328,0.3706438275251034,0.2533164876816172,0.35516465106538925,40.74104,-73.997871
A,AQUEDUCT RACETR,2022-02-07T00:00:00Z,25,463,255,887,6,2020-02-10T00:00:00Z,36,1200,636,2192,0.6944444444444444,0.3858333333333333,0.4009433962264151,0.40465328467153283,40.672097,-73.835919
J,CLEVELAND ST,2022-01-03T00:00:00Z,215,195,1992,846,1,2020-01-06T00:00:00Z,0,0,4985,2147,"NA","NA",0.3995987963891675,0.39403819282720076,40.679778,-73.885194
NQW,BROADWAY,2022-02-21T00:00:00Z,1556,1893,8870,4991,8,2019-02-25T00:00:00Z,2221,2821,26351,9399,0.7005853219270599,0.6710386387805742,0.33660961633334596,0.5310139376529418,40.761432,-73.925823
3,VAN SICLEN AV,2022-02-07T00:00:00Z,317,250,3158,1102,6,2020-02-10T00:00:00Z,552,526,6119,1987,0.5742753623188406,0.4752851711026616,0.5160974015361988,0.5546049320583795,40.66551796,-73.88940492
F,YORK ST,2022-02-28T00:00:00Z,123,3232,1440,8446,9,2019-03-04T00:00:00Z,242,4087,2671,29192,0.5082644628099173,0.7908000978712992,0.5391239236241108,0.2893258426966292,40.69974267,-73.986885
23,HOYT ST,2022-04-04T00:00:00Z,129,1477,789,6644,14,2019-04-08T00:00:00Z,176,3100,1668,16709,0.7329545454545454,0.4764516129032258,0.47302158273381295,0.3976300197498354,40.69054419,-73.9850638
MR,63 DR-REGO PARK,2022-01-10T00:00:00Z,1298,1603,11982,7373,2,2020-01-13T00:00:00Z,3222,3911,34409,16420,0.4028553693358163,0.40986959856814115,0.3482228486733122,0.4490255785627284,40.72976397,-73.8616182
NQW,ASTORIA BLVD,2022-01-24T00:00:00Z,573,744,9007,4167,4,2020-01-27T00:00:00Z,1932,2239,22190,7373,0.296583850931677,0.3322912014292095,0.4059035601622352,0.5651702156517021,40.770037,-73.918095
L,BUSHWICK AV,2022-02-07T00:00:00Z,374,355,2393,1278,6,2020-02-10T00:00:00Z,0,1,4917,2401,"NA",355,0.4866788692292048,0.5322782174094127,40.68286063,-73.90526176
25,BURKE AV,2022-02-21T00:00:00Z,253,304,2151,1036,8,2019-02-25T00:00:00Z,551,568,6165,2065,0.4591651542649728,0.5352112676056338,0.34890510948905107,0.5016949152542373,40.8712588,-73.86705362
N,8 AV,2022-02-28T00:00:00Z,456,2197,6341,8211,9,"NA","NA","NA","NA","NA","NA","NA","NA","NA",40.634971,-74.011516
ACEL,8 AV,2022-02-28T00:00:00Z,352,4443,1966,15400,9,2019-03-04T00:00:00Z,779,9571,6063,44206,0.45186136071887034,0.4642148155887577,0.32426191654296554,0.34836899968330093,40.73977667,-74.002578
G,MYRTLE-WILLOUGH,2022-03-28T00:00:00Z,321,456,4717,2147,13,2019-04-01T00:00:00Z,0,0,11734,4716,"NA","NA",0.40199420487472304,0.45525869380831213,40.694619,-73.949067
1,191 ST,2022-03-07T00:00:00Z,804,851,7867,4860,10,2019-03-11T00:00:00Z,1075,2173,9451,8170,0.747906976744186,0.3916244822825587,0.832398687969527,0.594859241126071,40.855225,-73.929412
L,SUTTER AV,2022-02-14T00:00:00Z,223,312,2354,1347,7,2019-02-18T00:00:00Z,406,582,3531,2951,0.5492610837438424,0.5360824742268041,0.6666666666666666,0.45645543883429346,40.669145,-73.901916
BDFM7,42 ST-BRYANT PK,2022-01-24T00:00:00Z,610,3110,4542,32868,4,2020-01-27T00:00:00Z,2507,15100,16941,144600,0.24331870761866772,0.20596026490066224,0.26810695944749424,0.22730290456431534,40.754184,-73.984591
25,CHURCH AV,2022-03-14T00:00:00Z,727,719,10408,3467,11,2019-03-18T00:00:00Z,1668,1900,21195,7691,0.43585131894484413,0.37842105263157894,0.4910592120783204,0.4507866337277337,40.65086069,-73.94945514
6,BROOK AV,2022-02-28T00:00:00Z,530,754,4210,3652,9,2019-03-04T00:00:00Z,1042,1330,7031,6431,0.508637236084453,0.5669172932330827,0.5987768453989475,0.5678743585756492,40.807566,-73.91924
BD,GRAND ST,2022-02-28T00:00:00Z,1260,5484,8795,25112,9,2019-03-04T00:00:00Z,2084,12752,20303,45669,0.6046065259117083,0.4300501882057716,0.43318721371225927,0.5498697146861109,40.718267,-73.993753
25,STERLING ST,2022-01-31T00:00:00Z,608,630,5336,2933,5,2020-02-03T00:00:00Z,1633,1642,14320,5405,0.3723208818126148,0.38367844092570036,0.37262569832402237,0.5426456984273821,40.66277299,-73.95072891
5,BAYCHESTER AV,2022-04-04T00:00:00Z,257,205,4184,931,14,2019-04-08T00:00:00Z,569,506,9869,2185,0.45166959578207383,0.4051383399209486,0.4239537947107103,0.4260869565217391,40.878663,-73.838591
NQRW,57 ST-7 AV,2022-02-28T00:00:00Z,1635,5880,7569,25934,9,2019-03-04T00:00:00Z,2390,13045,22758,79200,0.6841004184100419,0.4507474128018398,0.3325863432639072,0.32744949494949493,40.76456553,-73.98072973
ACE23,PARK PLACE,2022-04-11T00:00:00Z,428,5335,4653,40187,15,2019-04-15T00:00:00Z,753,10425,10379,130215,0.5683930942895087,0.5117505995203837,0.44830908565372385,0.30862035863763776,"NA","NA"
BDE,7 AV,2022-01-31T00:00:00Z,169,1200,815,9388,5,2020-02-03T00:00:00Z,521,4704,2296,47118,0.32437619961612285,0.25510204081632654,0.3549651567944251,0.19924445010399422,40.76297015,-73.98169782
25,BEVERLY RD,2022-01-24T00:00:00Z,356,318,5093,1604,4,2020-01-27T00:00:00Z,1125,914,10971,3096,0.3164444444444444,0.3479212253829322,0.4642238629113116,0.5180878552971576,40.64512352,-73.94884798
45,WALL ST,2022-04-18T00:00:00Z,385,1419,3307,12496,16,2019-04-22T00:00:00Z,1075,3715,12903,43136,0.3581395348837209,0.3819650067294751,0.256296985197241,0.2896884272997033,40.707557,-74.011862
2345S,FRANKLIN AV,2022-03-21T00:00:00Z,441,1452,5080,5276,12,2019-03-25T00:00:00Z,937,4255,11528,12786,0.47065101387406616,0.34124559341950644,0.44066620402498263,0.4126388237134366,40.67076515,-73.95809974
F,PARSONS BLVD,2022-03-21T00:00:00Z,626,617,5693,3235,12,2019-03-25T00:00:00Z,1176,1298,9883,6582,0.532312925170068,0.47534668721109397,0.5760396640696145,0.4914919477362504,40.707572,-73.803289
EF,BRIARWOOD,2022-02-21T00:00:00Z,637,467,4120,1624,8,2019-02-25T00:00:00Z,1239,880,11830,4237,0.5141242937853108,0.5306818181818181,0.34826711749788675,0.3832900637243333,40.70916182,-73.82069264
N,86 ST,2022-02-07T00:00:00Z,227,272,2292,1058,6,2020-02-10T00:00:00Z,372,529,3587,2032,0.6102150537634409,0.5141776937618148,0.6389740730415389,0.5206692913385826,40.592465,-73.978189
EM6,LEXINGTON AV/53,2022-01-10T00:00:00Z,861,2322,5515,25571,2,2020-01-13T00:00:00Z,1271,3597,25126,117694,0.6774193548387096,0.6455379482902419,0.2194937514924779,0.2172668105425935,40.75746831,-73.96907237
DFGMNR,4 AV-9 ST,2022-04-18T00:00:00Z,119,433,647,2292,16,2019-04-22T00:00:00Z,144,966,1488,5220,0.8263888888888888,0.44824016563146996,0.43481182795698925,0.43908045977011495,40.67084667,-73.988302
AC,UTICA AV,2022-03-28T00:00:00Z,660,1364,12051,4990,13,2019-04-01T00:00:00Z,3030,4104,31174,13447,0.21782178217821782,0.33235867446393763,0.3865721434528774,0.3710864876924221,40.679364,-73.930729
6,110 ST,2022-03-14T00:00:00Z,465,1279,4559,6907,11,2019-03-18T00:00:00Z,923,2795,9077,13216,0.5037919826652221,0.457602862254025,0.5022584554368184,0.5226240920096852,40.79502,-73.94425
AS,BEACH 105 ST,2022-04-11T00:00:00Z,17,9,217,63,15,2019-04-15T00:00:00Z,18,25,548,87,0.9444444444444444,0.36,0.395985401459854,0.7241379310344828,40.58326844,-73.82758075
D,FT HAMILTON PKY,2022-01-31T00:00:00Z,221,500,2490,3365,5,2020-02-03T00:00:00Z,458,782,4491,5457,0.48253275109170307,0.639386189258312,0.554442217768871,0.6166391790361004,40.64091271,-73.99420224
EF,KEW GARDENS,2022-01-31T00:00:00Z,2190,1243,25473,6186,5,2020-02-03T00:00:00Z,4586,2946,57879,13863,0.4775403401657218,0.42192803801765105,0.4401078111232053,0.446223761090673,40.71403482,-73.83037027
JZ,75 ST-ELDERTS,2022-03-07T00:00:00Z,376,275,4145,1944,10,2019-03-11T00:00:00Z,1,1,6874,2625,376,275,0.6029967995344777,0.7405714285714285,40.69129,-73.867288
F,ROOSEVELT ISLND,2022-03-28T00:00:00Z,190,1581,2915,4418,13,2019-04-01T00:00:00Z,347,3464,5359,7662,0.547550432276657,0.45640877598152424,0.5439447658145177,0.5766118506917254,40.759172,-73.953235
DFGMNR,4 AV-9 ST,2022-01-24T00:00:00Z,148,384,1904,3163,4,2020-01-27T00:00:00Z,593,1426,5624,6067,0.24957841483979765,0.26928471248246844,0.3385490753911807,0.5213449810449975,40.67084667,-73.988302
123,72 ST,2022-02-14T00:00:00Z,432,6430,5567,27502,7,2019-02-18T00:00:00Z,960,15228,10754,51781,0.45,0.42224848962437617,0.5176678445229682,0.5311214538151059,40.778453,-73.98197
N,8 AV,2022-01-10T00:00:00Z,355,1478,5065,6448,2,2020-01-13T00:00:00Z,850,4292,10485,15454,0.4176470588235294,0.3443616029822926,0.4830710538865045,0.41723825546784005,40.634971,-74.011516
ACJZ2345,FULTON ST,2022-01-17T00:00:00Z,197,1734,1715,14931,3,2020-01-20T00:00:00Z,516,5579,6748,64590,0.3817829457364341,0.31080838860010757,0.254149377593361,0.2311658151416628,40.71016217,-74.00762309
JM,FLUSHING AV,2022-01-31T00:00:00Z,214,889,2080,6036,5,2020-02-03T00:00:00Z,710,2878,4148,12248,0.30140845070422534,0.3088950660180681,0.5014464802314368,0.4928151534944481,40.7004044,-73.94137735
1,157 ST,2022-01-17T00:00:00Z,695,1200,5404,4429,3,2020-01-20T00:00:00Z,25,26,7464,10151,27.8,46.15384615384615,0.7240085744908896,0.43631169342921877,40.834041,-73.94489
6,ST LAWRENCE AV,2022-02-28T00:00:00Z,782,442,5101,1593,9,2019-03-04T00:00:00Z,1092,853,7969,2867,0.7161172161172161,0.5181711606096131,0.6401054084577739,0.5556330659225671,40.831509,-73.867618
L,GRAND ST,2022-01-10T00:00:00Z,431,773,3584,5235,2,2020-01-13T00:00:00Z,0,0,11096,10311,"NA","NA",0.32299927901946646,0.5077102123945301,40.711576,-73.940497
G,21 ST,2022-02-14T00:00:00Z,33,269,351,1689,7,2019-02-18T00:00:00Z,77,802,443,3726,0.42857142857142855,0.33541147132169574,0.7923250564334086,0.4533011272141707,40.74412867,-73.9496
1,RECTOR ST,2022-03-28T00:00:00Z,98,909,909,4976,13,2019-04-01T00:00:00Z,212,2543,2642,17450,0.46226415094339623,0.3574518285489579,0.3440575321725965,0.28515759312320915,40.707513,-74.013783
25,225 ST,2022-02-21T00:00:00Z,352,331,2409,1160,8,2019-02-25T00:00:00Z,734,711,7738,2730,0.47956403269754766,0.46554149085794655,0.3113207547169811,0.4249084249084249,40.88802826,-73.86021462
BDFM,47-50 STS ROCK,2022-03-07T00:00:00Z,655,4565,5049,58962,10,2019-03-11T00:00:00Z,1145,15505,2850,187538,0.5720524017467249,0.2944211544663012,1.7715789473684211,0.31440028154294064,40.758641,-73.981331
1,ST. GEORGE,2022-01-31T00:00:00Z,503,658,6494,7927,5,2020-02-03T00:00:00Z,11,6,21621,24419,45.72727272727273,109.66666666666667,0.3003561352388881,0.3246242679880421,40.64400274,-74.07333546
BQ,AVENUE H,2022-04-04T00:00:00Z,148,289,1817,1589,14,2019-04-08T00:00:00Z,174,414,3733,4112,0.8505747126436781,0.6980676328502415,0.48673988748995445,0.3864299610894942,40.62920838,-73.96151794
NRW,8 ST-NYU,2022-04-04T00:00:00Z,191,3182,849,10868,14,2019-04-08T00:00:00Z,431,8706,4454,32821,0.4431554524361949,0.36549506087755573,0.19061517736865738,0.33112945979708114,40.730465,-73.992508
6,CASTLE HILL AV,2022-04-04T00:00:00Z,613,537,6311,2239,14,2019-04-08T00:00:00Z,1023,1162,11609,4705,0.5992179863147605,0.4621342512908778,0.5436299422861572,0.4758767268862912,40.834255,-73.851222
D,9 AV,2022-03-14T00:00:00Z,698,590,7360,1998,11,2019-03-18T00:00:00Z,1288,545,11933,3419,0.5419254658385093,1.0825688073394495,0.6167770049442722,0.584381398069611,40.64648408,-73.99444874
FG,SMITH-9 ST,2022-04-04T00:00:00Z,106,588,1387,3466,14,2019-04-08T00:00:00Z,285,1445,4249,7583,0.3719298245614035,0.4069204152249135,0.3264297481760414,0.45707503626533036,40.67364106,-73.99589173
FG,BERGEN ST,2022-01-10T00:00:00Z,114,1092,2348,6251,2,2020-01-13T00:00:00Z,297,3942,6613,15998,0.3838383838383838,0.2770167427701674,0.35505821866021475,0.39073634204275537,40.68611055,-73.9907565
1,86 ST,2022-04-11T00:00:00Z,510,2134,6333,10243,15,2019-04-15T00:00:00Z,1038,5024,18466,23708,0.4913294797687861,0.4247611464968153,0.3429546193003358,0.43204825375400707,40.788644,-73.976218
D,NORWOOD 205 ST,2022-01-24T00:00:00Z,598,495,7130,2829,4,2020-01-27T00:00:00Z,1508,1479,14868,6768,0.39655172413793105,0.33468559837728196,0.47955340328221685,0.4179964539007092,40.874811,-73.878855
25,JACKSON AV,2022-02-21T00:00:00Z,352,392,2690,1818,8,2019-02-25T00:00:00Z,487,974,6860,5701,0.7227926078028748,0.4024640657084189,0.39212827988338195,0.31889142255744607,40.81643747,-73.90770194
25,225 ST,2022-01-17T00:00:00Z,296,297,3060,1095,3,2020-01-20T00:00:00Z,682,632,5973,2381,0.4340175953079179,0.4699367088607595,0.5123053741838273,0.45989080218395634,40.88802826,-73.86021462
BQ,PARKSIDE AV,2022-01-10T00:00:00Z,329,641,3112,2391,2,2020-01-13T00:00:00Z,616,1787,7054,4991,0.5340909090909091,0.3587017347509793,0.44116813155656365,0.4790623121618914,40.65507304,-73.96145344
NRW,RECTOR ST,2022-01-24T00:00:00Z,119,282,1601,3591,4,2020-01-27T00:00:00Z,511,1311,7857,15827,0.2328767123287671,0.2151029748283753,0.2037673412243859,0.226890756302521,40.70774476,-74.01297456
5,GUN HILL RD,2022-03-14T00:00:00Z,344,381,6411,1697,11,2019-03-18T00:00:00Z,575,697,11155,2734,0.5982608695652174,0.5466284074605452,0.5747198565665621,0.6207022677395757,40.869526,-73.846384
6,PARKCHESTER,2022-01-31T00:00:00Z,1163,847,12998,4076,5,2020-02-03T00:00:00Z,2464,2409,29049,9517,0.4719967532467532,0.3515981735159817,0.4474508588935936,0.4282862246506252,40.833226,-73.860816
N,AVENUE U,2022-02-21T00:00:00Z,468,479,2544,1581,8,2019-02-25T00:00:00Z,610,661,5284,2154,0.7672131147540984,0.7246596066565809,0.4814534443603331,0.733983286908078,40.597236,-73.979084
6,WHITLOCK AV,2022-01-10T00:00:00Z,215,156,1900,964,2,2020-01-13T00:00:00Z,498,380,4035,1962,0.43172690763052207,0.4105263157894737,0.4708798017348203,0.49133537206931704,40.826525,-73.886283
N,FT HAMILTON PKY,2022-02-07T00:00:00Z,482,541,6314,2559,6,2020-02-10T00:00:00Z,731,1087,11216,4317,0.6593707250341997,0.49770009199632015,0.5629457917261056,0.5927727588603197,40.63138567,-74.005351
ND,NEW UTRECHT AV,2022-03-07T00:00:00Z,500,515,4056,3477,10,2019-03-11T00:00:00Z,932,960,7868,5467,0.5364806866952789,0.5364583333333334,0.5155058464667006,0.6359978050118895,40.62484167,-73.996353
G,FULTON ST,2022-04-11T00:00:00Z,97,363,1555,4031,15,2019-04-15T00:00:00Z,0,0,2423,8618,"NA","NA",0.6417664052827073,0.46774193548387094,40.687119,-73.975375
45,WALL ST,2022-04-11T00:00:00Z,372,1246,3675,12911,15,2019-04-15T00:00:00Z,902,3463,13202,43621,0.4124168514412417,0.35980363846375973,0.27836691410392367,0.29598129341372276,40.707557,-74.011862
FJMZ,DELANCEY/ESSEX,2022-03-28T00:00:00Z,875,4056,9413,13873,13,2019-04-01T00:00:00Z,2016,7132,26872,33966,0.4340277777777778,0.5687044307347168,0.35029026495980947,0.4084378496143202,40.71868074,-73.98807807
D,18 AV,2022-01-03T00:00:00Z,995,518,5740,2215,1,2020-01-06T00:00:00Z,2243,1676,15046,5604,0.44360231832367364,0.30906921241050117,0.38149674332048383,0.3952533904354033,40.60773573,-74.00159259
A,88 ST,2022-04-04T00:00:00Z,350,139,4321,481,14,2019-04-08T00:00:00Z,751,375,8680,1074,0.46604527296937415,0.37066666666666664,0.4978110599078341,0.4478584729981378,40.679843,-73.85147
N,20 AV,2022-04-18T00:00:00Z,572,227,3935,815,16,2019-04-22T00:00:00Z,0,0,7884,1089,"NA","NA",0.4991121258244546,0.7483930211202938,40.617109,-73.984522
DFGMNR,4 AV-9 ST,2022-02-14T00:00:00Z,253,471,2212,3359,7,2019-02-18T00:00:00Z,586,1235,4301,5379,0.431740614334471,0.3813765182186235,0.5142990002325041,0.6244655140360662,40.67084667,-73.988302
1,191 ST,2022-02-21T00:00:00Z,1074,1034,5321,3812,8,2019-02-25T00:00:00Z,1995,2294,15341,9120,0.5383458646616541,0.45074106364428945,0.3468483149729483,0.4179824561403509,40.855225,-73.929412
BQ,PARKSIDE AV,2022-01-03T00:00:00Z,307,717,2754,2227,1,2020-01-06T00:00:00Z,648,2246,6783,4870,0.4737654320987654,0.3192341941228851,0.40601503759398494,0.4572895277207392,40.65507304,-73.96145344
7,61 ST WOODSIDE,2022-02-14T00:00:00Z,1214,1966,14055,7558,7,2019-02-18T00:00:00Z,1808,3830,16483,12966,0.6714601769911505,0.5133159268929504,0.8526967178304921,0.5829091469998458,40.74563,-73.902984
45,WALL ST,2022-02-14T00:00:00Z,252,943,2687,8440,7,2019-02-18T00:00:00Z,453,2129,7806,33673,0.5562913907284768,0.44293095349929545,0.34422239303100177,0.25064591809461584,40.707557,-74.011862
1,CHRISTOPHER ST,2022-04-18T00:00:00Z,171,2108,668,6673,16,2019-04-22T00:00:00Z,405,4944,2227,15140,0.4222222222222222,0.42637540453074435,0.29995509654243374,0.4407529722589168,40.733422,-74.002906
L,GRAND ST,2022-04-11T00:00:00Z,203,588,2350,4506,15,2019-04-15T00:00:00Z,390,1609,4523,8874,0.5205128205128206,0.36544437538844005,0.5195666592969268,0.5077755240027045,40.711576,-73.940497
EFMR,FOREST HILLS 71,2022-04-04T00:00:00Z,1622,2157,23410,10408,14,2019-04-08T00:00:00Z,3113,4590,57622,22884,0.5210407966591712,0.4699346405228758,0.4062684391378293,0.45481559167977625,40.72159431,-73.84451672
L,ATLANTIC AV,2022-04-18T00:00:00Z,74,137,681,1054,16,2019-04-22T00:00:00Z,123,261,1437,2148,0.6016260162601627,0.524904214559387,0.47390396659707723,0.49068901303538176,40.67534467,-73.903097
CE,50 ST,2022-02-21T00:00:00Z,866,1319,4923,9025,8,2019-02-25T00:00:00Z,3521,7866,19467,39814,0.2459528543027549,0.1676837020086448,0.2528895053166898,0.22667905761792334,40.762456,-73.985984
25,PRESIDENT ST,2022-01-31T00:00:00Z,331,381,3365,2683,5,2020-02-03T00:00:00Z,759,891,9389,4657,0.43610013175230566,0.4276094276094276,0.35839812546597083,0.576121966931501,40.6678836,-73.9505892
A,BEACH 44 ST,2022-04-11T00:00:00Z,51,67,761,220,15,2019-04-15T00:00:00Z,99,131,1230,519,0.5151515151515151,0.5114503816793893,0.6186991869918699,0.4238921001926782,40.592943,-73.776013
25,PELHAM PKWY,2022-01-24T00:00:00Z,475,612,5415,4017,4,2020-01-27T00:00:00Z,1295,2006,11634,8582,0.3667953667953668,0.3050847457627119,0.46544610624033006,0.4680727103239338,40.85719241,-73.86748068
3,VAN SICLEN AV,2022-01-17T00:00:00Z,288,173,2524,911,3,2020-01-20T00:00:00Z,674,453,4991,1926,0.42729970326409494,0.3818984547461369,0.5057102785013023,0.4730010384215992,40.66551796,-73.88940492
F,21 ST-QNSBRIDGE,2022-01-31T00:00:00Z,1171,1221,6582,7900,5,2020-02-03T00:00:00Z,2547,1975,19786,16217,0.4597565763643502,0.6182278481012659,0.3326594561811382,0.48714312141579824,40.75373927,-73.94193761
EF,KEW GARDENS,2022-02-14T00:00:00Z,2095,1276,27043,6479,7,2019-02-18T00:00:00Z,8232,5422,46443,13290,0.25449465500485907,0.23533751383253412,0.5822836595396508,0.4875094055680963,40.71403482,-73.83037027
JZ,CRESCENT ST,2022-03-28T00:00:00Z,675,346,5234,1157,13,2019-04-01T00:00:00Z,1348,795,11413,2514,0.5007418397626113,0.43522012578616354,0.45859984228511347,0.4602227525855211,40.68315266,-73.87392925
6,116 ST,2022-01-31T00:00:00Z,695,1766,5332,8871,5,2020-02-03T00:00:00Z,1156,4274,10745,18494,0.6012110726643599,0.4131960692559663,0.4962308050255933,0.47966908186438845,40.798629,-73.941617
BC,86 ST,2022-01-31T00:00:00Z,422,1335,4456,9714,5,2020-02-03T00:00:00Z,1117,3328,17833,21029,0.37779767233661593,0.4011418269230769,0.2498738294173723,0.4619335203766228,40.78582305,-73.96882849
4,KINGSBRIDGE RD,2022-02-28T00:00:00Z,919,835,7427,4508,9,2019-03-04T00:00:00Z,1574,1395,12209,8519,0.5838627700127065,0.5985663082437276,0.6083217298714063,0.5291700903861956,40.86776,-73.897174
4,MOSHOLU PKWY,2022-02-07T00:00:00Z,678,739,6564,4867,6,2020-02-10T00:00:00Z,1247,1512,10598,8856,0.5437048917401764,0.4887566137566138,0.6193621438007171,0.5495709123757905,40.87975,-73.884655
N,BAY PKWY,2022-03-14T00:00:00Z,1294,646,9457,2154,11,2019-03-18T00:00:00Z,1993,1176,16273,3369,0.6492724535875565,0.5493197278911565,0.5811466846924354,0.6393588601959038,40.61145579,-73.98178001
BC,86 ST,2022-02-28T00:00:00Z,435,1593,5159,11146,9,2019-03-04T00:00:00Z,243,1399,16103,18538,1.7901234567901234,1.1386704789135096,0.32037508538781595,0.6012514834394217,40.78582305,-73.96882849
JM,LORIMER ST,2022-02-28T00:00:00Z,143,500,1755,2967,9,2019-03-04T00:00:00Z,686,2299,4032,5581,0.20845481049562684,0.21748586341887777,0.43526785714285715,0.5316251567819387,40.703844,-73.947355
5,MORRIS PARK,2022-01-03T00:00:00Z,125,73,1912,497,1,2020-01-06T00:00:00Z,240,278,5512,1107,0.5208333333333334,0.26258992805755393,0.3468795355587808,0.44896115627822947,40.854364,-73.860495
GL,METROPOLITAN AV,2022-03-28T00:00:00Z,336,1581,3671,4268,13,2019-04-01T00:00:00Z,994,3492,10739,10299,0.3380281690140845,0.4527491408934708,0.34183815997765155,0.4144091659384406,40.712774,-73.951424
1,V.CORTLANDT PK,2022-03-28T00:00:00Z,482,633,7403,3170,13,2019-04-01T00:00:00Z,1011,1783,13259,6652,0.47675568743818003,0.3550196298373528,0.5583377328606984,0.4765484064942874,40.889248,-73.898583
A,OZONE PK LEFFRT,2022-01-24T00:00:00Z,491,412,7263,2270,4,2020-01-27T00:00:00Z,1568,1219,16409,4606,0.31313775510204084,0.3379819524200164,0.4426229508196721,0.4928354320451585,40.685951,-73.825798
6,E 149 ST,2022-04-11T00:00:00Z,509,350,5386,1513,15,2019-04-15T00:00:00Z,810,535,8847,3463,0.6283950617283951,0.6542056074766355,0.6087939414490788,0.43690441813456543,40.812118,-73.904098
6,BUHRE AV,2022-01-31T00:00:00Z,241,250,3703,986,5,2020-02-03T00:00:00Z,481,600,8701,2204,0.501039501039501,0.4166666666666667,0.4255832662912309,0.4473684210526316,40.84681,-73.832569
6,103 ST,2022-01-10T00:00:00Z,485,1188,4170,7877,2,2020-01-13T00:00:00Z,824,2730,8704,20207,0.5885922330097088,0.4351648351648352,0.47909007352941174,0.3898154105013114,40.7906,-73.947478
