linename,station,weekdate_2022,weekend_am_2022,weekend_pm_2022,weekday_am_2022,weekday_pm_2022,week,weekdate_bl,weekend_am_bl,weekend_pm_bl,weekday_am_bl,weekday_pm_bl,d_weekend_am,d_weekend_pm,d_weekday_am,d_weekday_pm,lat,lon
7,61 ST WOODSIDE,2022-03-28T00:00:00Z,1907,1846,20665,6345,13,2019-04-01T00:00:00Z,3313,3995,36439,12962,0.5756112284938123,0.4620775969962453,0.5671121600482999,0.48950779200740624,40.74563,-73.902984
EF,BRIARWOOD,2022-04-18T00:00:00Z,331,677,3138,1581,16,2019-04-22T00:00:00Z,528,786,6457,2836,0.6268939393939394,0.861323155216285,0.4859842031903361,0.557475317348378,40.70916182,-73.82069264
2,WAKEFIELD/241,2022-01-31T00:00:00Z,489,508,4174,2117,5,2020-02-03T00:00:00Z,906,1071,8470,4196,0.5397350993377483,0.47432306255835666,0.49279811097992915,0.5045281220209723,40.903125,-73.85062
7,90 ST-ELMHURST,2022-03-07T00:00:00Z,2491,2255,19562,8585,10,2019-03-11T00:00:00Z,2294,2939,26201,14000,1.0858761987794245,0.7672677781558354,0.7466127247051639,0.6132142857142857,40.748408,-73.876613
NRW,CITY HALL,2022-04-18T00:00:00Z,43,602,253,5475,16,2019-04-22T00:00:00Z,55,1172,598,13987,0.7818181818181819,0.5136518771331058,0.4230769230769231,0.3914349038392793,40.71327233,-74.00698582
C,163 ST-AMSTERDM,2022-03-28T00:00:00Z,378,344,3947,1311,13,2019-04-01T00:00:00Z,860,984,8376,2974,0.43953488372093025,0.34959349593495936,0.47122731614135627,0.44082044384667113,40.836013,-73.939892
G,CLINTON-WASH AV,2022-03-14T00:00:00Z,126,504,2718,2552,11,2019-03-18T00:00:00Z,275,941,7373,6242,0.4581818181818182,0.5356004250797024,0.36864234368642346,0.40884331944889457,40.688094,-73.966796
J,85 ST-FOREST PK,2022-03-21T00:00:00Z,415,291,4437,1148,12,2019-03-25T00:00:00Z,683,536,7518,1979,0.6076134699853587,0.542910447761194,0.5901835594573025,0.5800909550277918,40.692427,-73.860087
N,20 AV,2022-02-07T00:00:00Z,372,315,3694,1468,6,2020-02-10T00:00:00Z,593,503,6174,2738,0.627318718381113,0.6262425447316103,0.5983155166828636,0.5361577794010226,40.617109,-73.984522
R,25 ST,2022-01-10T00:00:00Z,339,476,2765,2633,2,2020-01-13T00:00:00Z,744,959,7603,5173,0.45564516129032256,0.49635036496350365,0.3636722346442194,0.5089889812487918,40.66039667,-73.998091
25,PROSPECT AV,2022-04-04T00:00:00Z,733,542,6550,2626,14,2019-04-08T00:00:00Z,688,838,11911,6012,1.065406976744186,0.6467780429594272,0.549911846192595,0.43679308050565535,40.81948726,-73.90177779
1,CATHEDRAL PKWY,2022-01-31T00:00:00Z,2,0,2320,8288,5,2020-02-03T00:00:00Z,418,4328,5415,18012,0.004784688995215311,0,0.42843951985226225,0.4601376859871197,40.803967,-73.966847
J,HALSEY ST,2022-01-03T00:00:00Z,267,512,2827,1727,1,2020-01-06T00:00:00Z,662,1602,7124,4947,0.4033232628398791,0.3196004993757803,0.3968276249298147,0.3491004649282393,40.68641527,-73.91663888
D,9 AV,2022-02-21T00:00:00Z,447,555,3082,2291,8,2019-02-25T00:00:00Z,588,963,9486,4074,0.7602040816326531,0.5763239875389408,0.3248998524140839,0.562346588119784,40.64648408,-73.99444874
BC,81 ST-MUSEUM,2022-03-07T00:00:00Z,75,3241,1057,10943,10,2019-03-11T00:00:00Z,345,5259,7283,17291,0.21739130434782608,0.6162768587183876,0.14513250034326514,0.6328725926782719,40.78134608,-73.97209795
JZ,BROAD ST,2022-04-04T00:00:00Z,107,542,747,4780,14,2019-04-08T00:00:00Z,117,1275,1445,20270,0.9145299145299145,0.4250980392156863,0.5169550173010381,0.23581647755303403,40.706476,-74.011056
BDFM7,42 ST-BRYANT PK,2022-01-17T00:00:00Z,782,5127,4584,32874,3,2020-01-20T00:00:00Z,2344,13313,15750,137130,0.33361774744027306,0.38511229625178395,0.29104761904761905,0.23972872456792824,40.754184,-73.984591
AC1,168 ST,2022-04-11T00:00:00Z,932,2072,7238,17390,15,2019-04-15T00:00:00Z,2233,5392,12504,36038,0.4173757277205553,0.38427299703264095,0.5788547664747281,0.48254620123203285,40.840719,-73.939561
G,BEDFORD-NOSTRAN,2022-03-21T00:00:00Z,270,916,3459,3721,12,2019-03-25T00:00:00Z,734,3023,8290,7729,0.3678474114441417,0.3030102547138604,0.4172496984318456,0.4814335619096908,40.689627,-73.953522
