linename,station,weekdate,week,weekend,weekday_am,weekday_pm
23,EASTN PKWY-MUSM,2022-05-02T00:00:00Z,18,1500,1165,2729
23,EASTN PKWY-MUSM,2022-05-09T00:00:00Z,19,,1271,2670
23,GRAND ARMY PLAZ,2022-05-02T00:00:00Z,18,1234,1952,4386
23,GRAND ARMY PLAZ,2022-05-09T00:00:00Z,19,,2067,4449
23,HOYT ST,2022-05-02T00:00:00Z,18,3035,720,6627
23,HOYT ST,2022-05-09T00:00:00Z,19,,755,6647
23,WALL ST,2022-05-02T00:00:00Z,18,3638,1239,16600
23,WALL ST,2022-05-09T00:00:00Z,19,,1293,16795
2345,NEVINS ST,2022-05-02T00:00:00Z,18,3505,1767,6168
2345,NEVINS ST,2022-05-09T00:00:00Z,19,,1840,6466
2345ACJZ,FULTON ST,2022-05-02T00:00:00Z,18,18880,22400,41609
2345ACJZ,FULTON ST,2022-05-09T00:00:00Z,19,,22496,37275
2345BDNQR,ATL AV-BARCLAY,2022-05-02T00:00:00Z,18,19495,12695,27103
2345BDNQR,ATL AV-BARCLAY,2022-05-09T00:00:00Z,19,,13410,29858
2345S,FRANKLIN AV,2022-05-02T00:00:00Z,18,6158,5199,5251
2345S,FRANKLIN AV,2022-05-09T00:00:00Z,19,,5392,5321
245,149/GRAND CONC,2022-05-02T00:00:00Z,18,4938,4714,8486
245,149/GRAND CONC,2022-05-09T00:00:00Z,19,,4904,8758
25,174 ST,2022-05-02T00:00:00Z,18,2875,5555,2054
25,174 ST,2022-05-09T00:00:00Z,19,,5978,2233
25,219 ST,2022-05-02T00:00:00Z,18,1336,3777,753
25,219 ST,2022-05-09T00:00:00Z,19,,4009,831
25,225 ST,2022-05-02T00:00:00Z,18,1623,4273,969
25,225 ST,2022-05-09T00:00:00Z,19,,4017,1075
25,233 ST,2022-05-02T00:00:00Z,18,2154,5593,1576
25,233 ST,2022-05-09T00:00:00Z,19,,5806,2207
25,3 AV-149 ST,2022-05-02T00:00:00Z,18,8709,10354,11089
25,3 AV-149 ST,2022-05-09T00:00:00Z,19,,11668,12029
25,ALLERTON AV,2022-05-02T00:00:00Z,18,1812,5414,1560
25,ALLERTON AV,2022-05-09T00:00:00Z,19,,5657,1658
25,BEVERLY RD,2022-05-02T00:00:00Z,18,1883,3976,1335
25,BEVERLY RD,2022-05-09T00:00:00Z,19,,4304,1431
25,BRONX PARK EAST,2022-05-02T00:00:00Z,18,600,2952,725
25,BRONX PARK EAST,2022-05-09T00:00:00Z,19,,3106,811
25,BURKE AV,2022-05-02T00:00:00Z,18,1038,3901,873
25,BURKE AV,2022-05-09T00:00:00Z,19,,4226,857
25,CHURCH AV,2022-05-02T00:00:00Z,18,4258,10481,3259
25,CHURCH AV,2022-05-09T00:00:00Z,19,,11043,3411
25,E 180 ST,2022-05-02T00:00:00Z,18,3577,9080,2247
25,E 180 ST,2022-05-09T00:00:00Z,19,,9514,2400
25,FLATBUSH AV-B.C,2022-05-02T00:00:00Z,18,6776,19601,6435
25,FLATBUSH AV-B.C,2022-05-09T00:00:00Z,19,,20643,6345
25,FREEMAN ST,2022-05-02T00:00:00Z,18,2219,4812,1469
