linename,station,weekdate,week,weekend,weekday_am,weekday_pm
Q,86 ST-2 AVE,2022-04-25T00:00:00Z,17,11110,11074,12728
Q,96 ST-2 AVE,2022-04-25T00:00:00Z,17,8138,10612,8530
Q,OCEAN PKWY,2022-04-25T00:00:00Z,17,1891,1876,1733
R,25 ST,2022-04-25T00:00:00Z,17,1985,1918,2450
R,45 ST,2022-04-25T00:00:00Z,17,3611,6022,3818
R,53 ST,2022-04-25T00:00:00Z,17,4532,7662,4494
R,77 ST,2022-04-25T00:00:00Z,17,14,4266,2129
R,86 ST,2022-04-25T00:00:00Z,17,6,7985,5686
R,BAY RIDGE-95 ST,2022-04-25T00:00:00Z,17,59,4295,2378
R,BAY RIDGE AV,2022-04-25T00:00:00Z,17,1,5751,3102
R,PROSPECT AV,2022-04-25T00:00:00Z,17,2275,2506,3569
R,UNION ST,2022-04-25T00:00:00Z,17,3616,2059,4643
R1W,WHITEHALL S-FRY,2022-04-25T00:00:00Z,17,11297,6614,8503
R2345,BOROUGH HALL,2022-04-25T00:00:00Z,17,10754,4350,27738
RNW,CORTLANDT ST,2022-04-25T00:00:00Z,17,8323,4260,11230
S,PARK PLACE,2022-04-25T00:00:00Z,17,810,1341,715
S2345,BOTANIC GARDEN,2022-04-25T00:00:00Z,17,1205,798,706
1,103 ST,2022-01-03T00:00:00Z,1,5279,2439,5785
1,103 ST,2022-01-10T00:00:00Z,2,5568,2754,6237
1,103 ST,2022-01-17T00:00:00Z,3,5908,2578,6271
1,103 ST,2022-01-24T00:00:00Z,4,4946,3023,6797
1,103 ST,2022-01-31T00:00:00Z,5,551,3051,5902
1,103 ST,2022-02-07T00:00:00Z,6,6399,3525,7409
1,103 ST,2022-02-14T00:00:00Z,7,6617,3468,7433
1,103 ST,2022-02-21T00:00:00Z,8,6810,2152,6774
1,103 ST,2022-02-28T00:00:00Z,9,6893,3480,7357
1,103 ST,2022-03-07T00:00:00Z,10,6702,3438,7524
1,103 ST,2022-03-14T00:00:00Z,11,6932,6149,6050
1,103 ST,2022-03-21T00:00:00Z,12,7143,6384,6377
1,103 ST,2022-03-28T00:00:00Z,13,7090,6899,6338
1,103 ST,2022-04-04T00:00:00Z,14,7231,6911,6385
1,103 ST,2022-04-11T00:00:00Z,15,6648,6224,6042
1,103 ST,2022-04-18T00:00:00Z,16,390,4886,6015
1,116 ST-COLUMBIA,2022-01-03T00:00:00Z,1,2267,715,4416
1,116 ST-COLUMBIA,2022-01-10T00:00:00Z,2,2671,850,5529
1,116 ST-COLUMBIA,2022-01-17T00:00:00Z,3,3352,897,6584
1,116 ST-COLUMBIA,2022-01-24T00:00:00Z,4,2846,1056,7992
1,116 ST-COLUMBIA,2022-01-31T00:00:00Z,5,437,998,12248
1,116 ST-COLUMBIA,2022-02-07T00:00:00Z,6,4376,1152,12640
1,116 ST-COLUMBIA,2022-02-14T00:00:00Z,7,4804,1166,12898
1,116 ST-COLUMBIA,2022-02-21T00:00:00Z,8,4772,725,12269
1,116 ST-COLUMBIA,2022-02-28T00:00:00Z,9,4639,1182,12556
1,116 ST-COLUMBIA,2022-03-07T00:00:00Z,10,3826,1177,12216
1,116 ST-COLUMBIA,2022-03-14T00:00:00Z,11,3861,1795,6269
1,116 ST-COLUMBIA,2022-03-21T00:00:00Z,12,4866,1898,10210
1,116 ST-COLUMBIA,2022-03-28T00:00:00Z,13,4967,2206,10169
1,116 ST-COLUMBIA,2022-04-04T00:00:00Z,14,5600,2212,10559
1,116 ST-COLUMBIA,2022-04-11T00:00:00Z,15,4658,1864,9503
1,116 ST-COLUMBIA,2022-04-18T00:00:00Z,16,301,1621,9675
1,125 ST,2022-01-03T00:00:00Z,1,2875,3195,3819
1,125 ST,2022-01-10T00:00:00Z,2,2947,3505,4511
1,125 ST,2022-01-17T00:00:00Z,3,3383,3406,5186
1,125 ST,2022-01-24T00:00:00Z,4,2757,4081,6153
1,125 ST,2022-01-31T00:00:00Z,5,34,3977,6360
1,125 ST,2022-02-07T00:00:00Z,6,3821,4718,6758
1,125 ST,2022-02-14T00:00:00Z,7,3819,4593,6839
1,125 ST,2022-02-21T00:00:00Z,8,3851,3218,5707
1,125 ST,2022-02-28T00:00:00Z,9,3831,4718,6353
1,125 ST,2022-03-07T00:00:00Z,10,3405,4694,6038
1,125 ST,2022-03-14T00:00:00Z,11,4247,2074,5334
1,125 ST,2022-03-21T00:00:00Z,12,4463,2135,5674
1,125 ST,2022-03-28T00:00:00Z,13,4151,2187,5792
1,125 ST,2022-04-04T00:00:00Z,14,4605,2099,5847
1,125 ST,2022-04-11T00:00:00Z,15,4029,1921,5449
1,125 ST,2022-04-18T00:00:00Z,16,383,1512,5361
1,137 ST CITY COL,2022-01-03T00:00:00Z,1,5506,4736,4378
1,137 ST CITY COL,2022-01-10T00:00:00Z,2,5480,5160,4946
1,137 ST CITY COL,2022-01-17T00:00:00Z,3,6064,5049,4963
1,137 ST CITY COL,2022-01-24T00:00:00Z,4,4781,5653,5514
1,137 ST CITY COL,2022-01-31T00:00:00Z,5,4033,5454,6839
1,137 ST CITY COL,2022-02-07T00:00:00Z,6,6822,6231,7240
1,137 ST CITY COL,2022-02-14T00:00:00Z,7,6632,6162,7402
1,137 ST CITY COL,2022-02-21T00:00:00Z,8,6588,4322,6108
1,137 ST CITY COL,2022-02-28T00:00:00Z,9,6816,6326,7538
1,137 ST CITY COL,2022-03-07T00:00:00Z,10,6751,6221,7537
1,137 ST CITY COL,2022-03-14T00:00:00Z,11,6853,9322,5837
1,137 ST CITY COL,2022-03-21T00:00:00Z,12,7095,9468,5586
1,137 ST CITY COL,2022-03-28T00:00:00Z,13,6808,9702,5401
1,137 ST CITY COL,2022-04-04T00:00:00Z,14,7109,9620,5498
1,137 ST CITY COL,2022-04-11T00:00:00Z,15,6597,8671,5006
1,137 ST CITY COL,2022-04-18T00:00:00Z,16,1868,7494,4239
1,145 ST,2022-01-03T00:00:00Z,1,5438,6562,4611
1,145 ST,2022-01-10T00:00:00Z,2,5222,7368,4967
1,145 ST,2022-01-17T00:00:00Z,3,5686,7012,4627
1,145 ST,2022-01-24T00:00:00Z,4,4803,8171,5021
1,145 ST,2022-01-31T00:00:00Z,5,4253,8162,5239
1,145 ST,2022-02-07T00:00:00Z,6,6240,9110,5550
1,145 ST,2022-02-14T00:00:00Z,7,6380,9485,5724
1,145 ST,2022-02-21T00:00:00Z,8,6296,6822,5049
1,145 ST,2022-02-28T00:00:00Z,9,6433,8948,5602
1,145 ST,2022-03-07T00:00:00Z,10,5589,9108,5562
1,145 ST,2022-03-14T00:00:00Z,11,6633,5364,5020
1,145 ST,2022-03-21T00:00:00Z,12,6556,5372,4861
1,145 ST,2022-03-28T00:00:00Z,13,6614,5609,4506
1,145 ST,2022-04-04T00:00:00Z,14,7027,5546,4685
1,145 ST,2022-04-11T00:00:00Z,15,6228,5134,4485
1,145 ST,2022-04-18T00:00:00Z,16,3889,4356,4504
1,157 ST,2022-01-03T00:00:00Z,1,5610,5269,4155
1,157 ST,2022-01-10T00:00:00Z,2,5454,5655,4526
1,157 ST,2022-01-17T00:00:00Z,3,5897,5404,4429
1,157 ST,2022-01-24T00:00:00Z,4,4848,6055,4809
1,157 ST,2022-01-31T00:00:00Z,5,4413,5605,4959
1,157 ST,2022-02-07T00:00:00Z,6,6264,6504,5410
1,157 ST,2022-02-14T00:00:00Z,7,6608,6459,5265
1,157 ST,2022-02-21T00:00:00Z,8,6437,4523,4809
1,157 ST,2022-02-28T00:00:00Z,9,6678,6564,5493
1,157 ST,2022-03-07T00:00:00Z,10,6149,6705,5529
1,157 ST,2022-03-14T00:00:00Z,11,6867,9027,4416
1,157 ST,2022-03-21T00:00:00Z,12,6552,9348,4307
1,157 ST,2022-03-28T00:00:00Z,13,6866,9734,4338
1,157 ST,2022-04-04T00:00:00Z,14,7026,9572,4350
1,157 ST,2022-04-11T00:00:00Z,15,6516,8830,4049
1,157 ST,2022-04-18T00:00:00Z,16,4608,7368,4079
1,18 ST,2022-01-03T00:00:00Z,1,2320,1295,4528
1,18 ST,2022-01-10T00:00:00Z,2,2413,1467,5084
1,18 ST,2022-01-17T00:00:00Z,3,2398,1450,4979
1,18 ST,2022-01-24T00:00:00Z,4,2190,1705,5486
1,18 ST,2022-01-31T00:00:00Z,5,2716,1703,5641
1,18 ST,2022-02-07T00:00:00Z,6,3239,1928,6327
1,18 ST,2022-02-14T00:00:00Z,7,4217,1904,6351
1,18 ST,2022-02-21T00:00:00Z,8,2992,1602,5191
1,18 ST,2022-02-28T00:00:00Z,9,3516,2005,6784
1,18 ST,2022-03-07T00:00:00Z,10,2718,1954,6499
1,18 ST,2022-03-14T00:00:00Z,11,3676,521,5265
1,18 ST,2022-03-21T00:00:00Z,12,3597,560,5702
1,18 ST,2022-03-28T00:00:00Z,13,3383,563,5059
1,18 ST,2022-04-04T00:00:00Z,14,4179,608,5730
1,18 ST,2022-04-11T00:00:00Z,15,3155,467,5317
1,18 ST,2022-04-18T00:00:00Z,16,3361,425,5065
1,181 ST,2022-01-03T00:00:00Z,1,4041,4841,4251
1,181 ST,2022-01-10T00:00:00Z,2,3961,5788,5315
1,181 ST,2022-01-17T00:00:00Z,3,4438,5739,5198
1,181 ST,2022-01-24T00:00:00Z,4,3414,6776,5894
1,181 ST,2022-01-31T00:00:00Z,5,4115,6557,5922
1,181 ST,2022-02-07T00:00:00Z,6,4991,8164,6583
1,181 ST,2022-02-14T00:00:00Z,7,5302,7656,6092
1,181 ST,2022-02-21T00:00:00Z,8,5206,5696,5116
1,181 ST,2022-02-28T00:00:00Z,9,5176,7822,6296
1,181 ST,2022-03-07T00:00:00Z,10,4657,8204,6228
1,181 ST,2022-03-14T00:00:00Z,11,5528,4605,5336
1,181 ST,2022-03-21T00:00:00Z,12,5371,4817,5355
1,181 ST,2022-03-28T00:00:00Z,13,5516,4989,5088
1,181 ST,2022-04-04T00:00:00Z,14,5746,4925,5366
1,181 ST,2022-04-11T00:00:00Z,15,5322,4556,5130
1,181 ST,2022-04-18T00:00:00Z,16,4564,3945,4763
1,191 ST,2022-01-03T00:00:00Z,1,3780,5503,3594
1,191 ST,2022-01-10T00:00:00Z,2,3571,6470,4281
1,191 ST,2022-01-17T00:00:00Z,3,4000,6264,4178
1,191 ST,2022-01-24T00:00:00Z,4,3386,7184,4757
1,191 ST,2022-01-31T00:00:00Z,5,3652,6869,4483
1,191 ST,2022-02-07T00:00:00Z,6,4515,7926,5033
1,191 ST,2022-02-14T00:00:00Z,7,4101,7470,4758
1,191 ST,2022-02-21T00:00:00Z,8,4205,5321,3812
1,191 ST,2022-02-28T00:00:00Z,9,4294,7729,4623
1,191 ST,2022-03-07T00:00:00Z,10,3947,7867,4860
1,191 ST,2022-03-14T00:00:00Z,11,4561,5186,3799
1,191 ST,2022-03-21T00:00:00Z,12,4287,5397,3819
1,191 ST,2022-03-28T00:00:00Z,13,4519,5414,3732
1,191 ST,2022-04-04T00:00:00Z,14,4635,5363,3708
1,191 ST,2022-04-11T00:00:00Z,15,4335,4873,3497
1,191 ST,2022-04-18T00:00:00Z,16,3714,3978,3370
1,207 ST,2022-01-03T00:00:00Z,1,2955,4532,3029
1,207 ST,2022-01-10T00:00:00Z,2,3230,5305,3929
1,207 ST,2022-01-17T00:00:00Z,3,3281,3783,2411
1,207 ST,2022-01-24T00:00:00Z,4,2429,6013,4270
1,207 ST,2022-01-31T00:00:00Z,5,2936,5542,4075
1,207 ST,2022-02-07T00:00:00Z,6,3698,6657,4723
1,207 ST,2022-02-14T00:00:00Z,7,3626,6324,4468
1,207 ST,2022-02-21T00:00:00Z,8,3741,4527,3553
1,207 ST,2022-02-28T00:00:00Z,9,3798,6581,4614
1,207 ST,2022-03-07T00:00:00Z,10,3169,7047,5269
1,207 ST,2022-03-14T00:00:00Z,11,4330,4158,3939
1,207 ST,2022-03-21T00:00:00Z,12,4036,4183,3873
1,207 ST,2022-03-28T00:00:00Z,13,4156,4290,3809
1,207 ST,2022-04-04T00:00:00Z,14,4350,4262,3902
1,207 ST,2022-04-11T00:00:00Z,15,3917,3918,3728
1,207 ST,2022-04-18T00:00:00Z,16,3542,3043,3367
1,215 ST,2022-01-03T00:00:00Z,1,754,1266,1064
1,215 ST,2022-01-10T00:00:00Z,2,738,1381,1192
1,215 ST,2022-01-17T00:00:00Z,3,860,1339,1122
1,215 ST,2022-01-24T00:00:00Z,4,701,1598,1371
1,215 ST,2022-01-31T00:00:00Z,5,639,1612,1449
1,215 ST,2022-02-07T00:00:00Z,6,915,1862,1535
1,215 ST,2022-02-14T00:00:00Z,7,901,1852,1539
1,215 ST,2022-02-21T00:00:00Z,8,918,1203,1247
1,215 ST,2022-02-28T00:00:00Z,9,991,1758,1666
1,215 ST,2022-03-07T00:00:00Z,10,787,1973,1635
1,215 ST,2022-03-14T00:00:00Z,11,948,948,1340
1,215 ST,2022-03-21T00:00:00Z,12,993,998,1316
1,215 ST,2022-03-28T00:00:00Z,13,1079,1077,1256
1,215 ST,2022-04-04T00:00:00Z,14,1086,1071,1334
1,215 ST,2022-04-11T00:00:00Z,15,946,962,1258
1,215 ST,2022-04-18T00:00:00Z,16,751,658,1107
1,23 ST,2022-01-03T00:00:00Z,1,5347,857,7404
1,23 ST,2022-01-10T00:00:00Z,2,5142,907,7905
1,23 ST,2022-01-17T00:00:00Z,3,5219,865,7845
1,23 ST,2022-01-24T00:00:00Z,4,4683,1004,8595
1,23 ST,2022-01-31T00:00:00Z,5,6431,993,8888
1,23 ST,2022-02-07T00:00:00Z,6,7362,1171,9868
1,23 ST,2022-02-14T00:00:00Z,7,8972,1223,9615
1,23 ST,2022-02-21T00:00:00Z,8,7776,872,8861
1,23 ST,2022-02-28T00:00:00Z,9,7084,1233,9843
1,23 ST,2022-03-07T00:00:00Z,10,7923,1196,9811
1,23 ST,2022-03-14T00:00:00Z,11,8791,2314,8392
1,23 ST,2022-03-21T00:00:00Z,12,7270,2187,8253
1,23 ST,2022-03-28T00:00:00Z,13,6970,2464,7805
1,23 ST,2022-04-04T00:00:00Z,14,8335,2568,8562
1,23 ST,2022-04-11T00:00:00Z,15,7439,2460,8280
1,23 ST,2022-04-18T00:00:00Z,16,7036,2116,8264
1,231 ST,2022-01-03T00:00:00Z,1,3835,6296,4416
1,231 ST,2022-01-10T00:00:00Z,2,3704,7268,5113
1,231 ST,2022-01-17T00:00:00Z,3,4276,6995,5074
1,231 ST,2022-01-24T00:00:00Z,4,3019,8265,5615
1,231 ST,2022-01-31T00:00:00Z,5,4071,8134,5246
1,231 ST,2022-02-07T00:00:00Z,6,4431,9005,6017
1,231 ST,2022-02-14T00:00:00Z,7,4617,8821,5986
1,231 ST,2022-02-21T00:00:00Z,8,4797,6607,4976
1,231 ST,2022-02-28T00:00:00Z,9,4937,9070,6004
1,231 ST,2022-03-07T00:00:00Z,10,4135,9606,5808
1,231 ST,2022-03-14T00:00:00Z,11,5111,6475,5137
1,231 ST,2022-03-21T00:00:00Z,12,5203,6598,5150
1,231 ST,2022-03-28T00:00:00Z,13,5088,6835,4984
1,231 ST,2022-04-04T00:00:00Z,14,5208,6721,5010
1,231 ST,2022-04-11T00:00:00Z,15,4678,6189,4430
1,231 ST,2022-04-18T00:00:00Z,16,4513,5060,3805
1,238 ST,2022-01-03T00:00:00Z,1,1622,2592,1256
1,238 ST,2022-01-10T00:00:00Z,2,1721,3123,1357
1,238 ST,2022-01-17T00:00:00Z,3,1874,2959,1479
1,238 ST,2022-01-24T00:00:00Z,4,1362,3472,1749
1,238 ST,2022-01-31T00:00:00Z,5,1836,3259,1673
1,238 ST,2022-02-07T00:00:00Z,6,2202,3738,1898
1,238 ST,2022-02-14T00:00:00Z,7,2063,3692,1915
1,238 ST,2022-02-21T00:00:00Z,8,2215,2328,1717
1,238 ST,2022-02-28T00:00:00Z,9,2191,3779,1858
1,238 ST,2022-03-07T00:00:00Z,10,3934,3813,1781
1,238 ST,2022-03-14T00:00:00Z,11,2260,4958,1449
1,238 ST,2022-03-21T00:00:00Z,12,4579,4951,1464
1,238 ST,2022-03-28T00:00:00Z,13,2336,4880,1417
1,238 ST,2022-04-04T00:00:00Z,14,2396,4958,1519
1,238 ST,2022-04-11T00:00:00Z,15,2260,4453,1369
1,238 ST,2022-04-18T00:00:00Z,16,2089,3711,1442
1,28 ST,2022-01-03T00:00:00Z,1,3711,631,6580
1,28 ST,2022-01-10T00:00:00Z,2,3855,668,7229
1,28 ST,2022-01-17T00:00:00Z,3,3545,648,6977
1,28 ST,2022-01-24T00:00:00Z,4,3410,728,7855
1,28 ST,2022-01-31T00:00:00Z,5,4255,724,9483
1,28 ST,2022-02-07T00:00:00Z,6,5576,824,10337
1,28 ST,2022-02-14T00:00:00Z,7,5583,804,10399
1,28 ST,2022-02-21T00:00:00Z,8,5158,614,9447
1,28 ST,2022-02-28T00:00:00Z,9,5519,840,10808
1,28 ST,2022-03-07T00:00:00Z,10,5418,858,10816
1,28 ST,2022-03-14T00:00:00Z,11,6422,1834,9203
1,28 ST,2022-03-21T00:00:00Z,12,6075,1829,8987
1,28 ST,2022-03-28T00:00:00Z,13,5739,2332,9085
1,28 ST,2022-04-04T00:00:00Z,14,6804,2019,9139
1,28 ST,2022-04-11T00:00:00Z,15,5981,2280,8092
1,28 ST,2022-04-18T00:00:00Z,16,5619,1846,8766
1,50 ST,2022-01-03T00:00:00Z,1,8494,4145,11622
1,50 ST,2022-01-10T00:00:00Z,2,7871,3666,12088
1,50 ST,2022-01-17T00:00:00Z,3,6853,3458,11324
1,50 ST,2022-01-24T00:00:00Z,4,7231,3992,13600
1,50 ST,2022-01-31T00:00:00Z,5,9512,4047,14360
1,50 ST,2022-02-07T00:00:00Z,6,5960,4937,16415
1,50 ST,2022-02-14T00:00:00Z,7,13227,5182,17236
1,50 ST,2022-02-21T00:00:00Z,8,5774,5095,14330
1,50 ST,2022-02-28T00:00:00Z,9,9486,5324,18831
1,50 ST,2022-03-07T00:00:00Z,10,10272,5798,18531
1,50 ST,2022-03-14T00:00:00Z,11,13353,1340,17573
1,50 ST,2022-03-21T00:00:00Z,12,12996,1251,18004
1,50 ST,2022-03-28T00:00:00Z,13,13162,1400,17723
1,50 ST,2022-04-04T00:00:00Z,14,13672,1466,18367
1,50 ST,2022-04-11T00:00:00Z,15,15152,1343,17051
1,50 ST,2022-04-18T00:00:00Z,16,11230,1150,17274
1,66 ST-LINCOLN,2022-01-03T00:00:00Z,1,6798,1311,12422
1,66 ST-LINCOLN,2022-01-10T00:00:00Z,2,7316,1372,13589
1,66 ST-LINCOLN,2022-01-17T00:00:00Z,3,7594,1394,13364
1,66 ST-LINCOLN,2022-01-24T00:00:00Z,4,7768,1558,13050
1,66 ST-LINCOLN,2022-01-31T00:00:00Z,5,7742,1536,15263
1,66 ST-LINCOLN,2022-02-07T00:00:00Z,6,4851,1784,17005
1,66 ST-LINCOLN,2022-02-14T00:00:00Z,7,9138,1722,17108
1,66 ST-LINCOLN,2022-02-21T00:00:00Z,8,5713,1127,13066
1,66 ST-LINCOLN,2022-02-28T00:00:00Z,9,9209,1787,17379
1,66 ST-LINCOLN,2022-03-07T00:00:00Z,10,10457,1772,17076
1,66 ST-LINCOLN,2022-03-14T00:00:00Z,11,10391,3650,11999
1,66 ST-LINCOLN,2022-03-21T00:00:00Z,12,10423,3663,11697
1,66 ST-LINCOLN,2022-03-28T00:00:00Z,13,9623,3957,11729
1,66 ST-LINCOLN,2022-04-04T00:00:00Z,14,9746,3913,11949
1,66 ST-LINCOLN,2022-04-11T00:00:00Z,15,8180,3475,11055
1,66 ST-LINCOLN,2022-04-18T00:00:00Z,16,8742,3028,10242
1,79 ST,2022-01-03T00:00:00Z,1,6082,1347,9565
1,79 ST,2022-01-10T00:00:00Z,2,6432,1639,10497
1,79 ST,2022-01-17T00:00:00Z,3,6550,1570,10107
1,79 ST,2022-01-24T00:00:00Z,4,5467,1704,10979
1,79 ST,2022-01-31T00:00:00Z,5,5318,1826,10879
1,79 ST,2022-02-07T00:00:00Z,6,3220,1985,11753
1,79 ST,2022-02-14T00:00:00Z,7,8203,2004,11807
1,79 ST,2022-02-21T00:00:00Z,8,7764,1166,10870
1,79 ST,2022-02-28T00:00:00Z,9,7784,2053,11871
1,79 ST,2022-03-07T00:00:00Z,10,7430,2072,12045
1,79 ST,2022-03-14T00:00:00Z,11,8693,4011,9154
1,79 ST,2022-03-21T00:00:00Z,12,9629,4108,8753
1,79 ST,2022-03-28T00:00:00Z,13,8011,4713,9036
1,79 ST,2022-04-04T00:00:00Z,14,8352,4711,9469
1,79 ST,2022-04-11T00:00:00Z,15,7775,4168,9387
1,79 ST,2022-04-18T00:00:00Z,16,5556,3238,9048
1,86 ST,2022-01-03T00:00:00Z,1,7084,2326,10480
1,86 ST,2022-01-10T00:00:00Z,2,7004,2766,11519
1,86 ST,2022-01-17T00:00:00Z,3,7486,2557,11245
1,86 ST,2022-01-24T00:00:00Z,4,6264,2876,12081
1,86 ST,2022-01-31T00:00:00Z,5,6392,3096,12440
1,86 ST,2022-02-07T00:00:00Z,6,4832,3353,13455
1,86 ST,2022-02-14T00:00:00Z,7,8801,3306,13492
1,86 ST,2022-02-21T00:00:00Z,8,8622,2102,11991
1,86 ST,2022-02-28T00:00:00Z,9,9227,3563,13699
1,86 ST,2022-03-07T00:00:00Z,10,8704,3495,13796
1,86 ST,2022-03-14T00:00:00Z,11,9547,6242,10172
1,86 ST,2022-03-21T00:00:00Z,12,10549,6230,10176
1,86 ST,2022-03-28T00:00:00Z,13,9295,7446,10401
1,86 ST,2022-04-04T00:00:00Z,14,9631,7211,11003
1,86 ST,2022-04-11T00:00:00Z,15,8542,6333,10243
1,86 ST,2022-04-18T00:00:00Z,16,6914,5324,9151
1,CANAL ST,2022-01-03T00:00:00Z,1,1254,210,2451
1,CANAL ST,2022-01-10T00:00:00Z,2,1295,273,2611
1,CANAL ST,2022-01-17T00:00:00Z,3,1410,241,2444
1,CANAL ST,2022-01-24T00:00:00Z,4,1113,278,2910
1,CANAL ST,2022-01-31T00:00:00Z,5,1930,264,3054
1,CANAL ST,2022-02-07T00:00:00Z,6,2411,311,3361
1,CANAL ST,2022-02-14T00:00:00Z,7,2513,341,3613
1,CANAL ST,2022-02-21T00:00:00Z,8,2061,237,3280
1,CANAL ST,2022-02-28T00:00:00Z,9,1964,339,3716
1,CANAL ST,2022-03-07T00:00:00Z,10,1853,358,3886
1,CANAL ST,2022-03-14T00:00:00Z,11,2317,619,3177
1,CANAL ST,2022-03-21T00:00:00Z,12,2024,564,2998
1,CANAL ST,2022-03-28T00:00:00Z,13,2117,671,3066
1,CANAL ST,2022-04-04T00:00:00Z,14,2574,672,3289
1,CANAL ST,2022-04-11T00:00:00Z,15,2368,601,3374
1,CANAL ST,2022-04-18T00:00:00Z,16,2282,555,3193
1,CATHEDRAL PKWY,2022-01-03T00:00:00Z,1,4510,1834,6252
1,CATHEDRAL PKWY,2022-01-10T00:00:00Z,2,4860,2042,7028
1,CATHEDRAL PKWY,2022-01-17T00:00:00Z,3,5366,1910,6585
1,CATHEDRAL PKWY,2022-01-24T00:00:00Z,4,4526,2264,7700
1,CATHEDRAL PKWY,2022-01-31T00:00:00Z,5,490,2320,8288
1,CATHEDRAL PKWY,2022-02-07T00:00:00Z,6,6182,2689,8661
1,CATHEDRAL PKWY,2022-02-14T00:00:00Z,7,6368,2524,8684
1,CATHEDRAL PKWY,2022-02-21T00:00:00Z,8,6228,1533,7801
1,CATHEDRAL PKWY,2022-02-28T00:00:00Z,9,6370,2645,8582
1,CATHEDRAL PKWY,2022-03-07T00:00:00Z,10,5884,2684,8408
1,CATHEDRAL PKWY,2022-03-14T00:00:00Z,11,6399,4493,6210
1,CATHEDRAL PKWY,2022-03-21T00:00:00Z,12,6601,4615,5913
1,CATHEDRAL PKWY,2022-03-28T00:00:00Z,13,6719,5323,6367
1,CATHEDRAL PKWY,2022-04-04T00:00:00Z,14,6830,5292,6793
1,CATHEDRAL PKWY,2022-04-11T00:00:00Z,15,6056,4657,6375
1,CATHEDRAL PKWY,2022-04-18T00:00:00Z,16,434,3651,6343
1,CHRISTOPHER ST,2022-01-03T00:00:00Z,1,4073,2117,4939
1,CHRISTOPHER ST,2022-01-10T00:00:00Z,2,4443,2181,5494
1,CHRISTOPHER ST,2022-01-17T00:00:00Z,3,6440,2215,5111
1,CHRISTOPHER ST,2022-01-24T00:00:00Z,4,5676,3502,6849
1,CHRISTOPHER ST,2022-01-31T00:00:00Z,5,5349,3523,6165
1,CHRISTOPHER ST,2022-02-07T00:00:00Z,6,6875,3114,6460
1,CHRISTOPHER ST,2022-02-14T00:00:00Z,7,7189,3045,6636
1,CHRISTOPHER ST,2022-02-21T00:00:00Z,8,6122,2373,6178
1,CHRISTOPHER ST,2022-02-28T00:00:00Z,9,6259,3017,6567
1,CHRISTOPHER ST,2022-03-07T00:00:00Z,10,5434,3195,6843
1,CHRISTOPHER ST,2022-03-14T00:00:00Z,11,7897,710,6175
1,CHRISTOPHER ST,2022-03-21T00:00:00Z,12,7068,719,6070
1,CHRISTOPHER ST,2022-03-28T00:00:00Z,13,6726,866,5910
1,CHRISTOPHER ST,2022-04-04T00:00:00Z,14,8783,891,6076
1,CHRISTOPHER ST,2022-04-11T00:00:00Z,15,7543,697,7026
1,CHRISTOPHER ST,2022-04-18T00:00:00Z,16,7564,668,6673
1,DYCKMAN ST,2022-01-03T00:00:00Z,1,3496,5359,3775
1,DYCKMAN ST,2022-01-10T00:00:00Z,2,3346,5986,4007
1,DYCKMAN ST,2022-01-17T00:00:00Z,3,3769,5889,4102
1,DYCKMAN ST,2022-01-24T00:00:00Z,4,3012,6872,4492
1,DYCKMAN ST,2022-01-31T00:00:00Z,5,3328,6464,4172
1,DYCKMAN ST,2022-02-07T00:00:00Z,6,4166,7600,4801
1,DYCKMAN ST,2022-02-14T00:00:00Z,7,4101,7376,4478
1,DYCKMAN ST,2022-02-21T00:00:00Z,8,4087,5138,3588
1,DYCKMAN ST,2022-02-28T00:00:00Z,9,4304,7563,4460
1,DYCKMAN ST,2022-03-07T00:00:00Z,10,3698,7692,4607
1,DYCKMAN ST,2022-03-14T00:00:00Z,11,4361,4716,3927
1,DYCKMAN ST,2022-03-21T00:00:00Z,12,4423,4804,3994
1,DYCKMAN ST,2022-03-28T00:00:00Z,13,4569,4833,3637
1,DYCKMAN ST,2022-04-04T00:00:00Z,14,4534,4784,3850
1,DYCKMAN ST,2022-04-11T00:00:00Z,15,3934,4629,3828
1,DYCKMAN ST,2022-04-18T00:00:00Z,16,3626,3419,3212
1,FRANKLIN ST,2022-01-03T00:00:00Z,1,1281,319,2324
1,FRANKLIN ST,2022-01-10T00:00:00Z,2,1540,371,2564
1,FRANKLIN ST,2022-01-17T00:00:00Z,3,1636,370,2619
1,FRANKLIN ST,2022-01-24T00:00:00Z,4,1367,386,2917
1,FRANKLIN ST,2022-01-31T00:00:00Z,5,1955,368,3257
1,FRANKLIN ST,2022-02-07T00:00:00Z,6,2329,468,4396
1,FRANKLIN ST,2022-02-14T00:00:00Z,7,2280,448,4459
1,FRANKLIN ST,2022-02-21T00:00:00Z,8,1823,326,3913
1,FRANKLIN ST,2022-02-28T00:00:00Z,9,2054,457,4492
1,FRANKLIN ST,2022-03-07T00:00:00Z,10,1776,475,4558
1,FRANKLIN ST,2022-03-14T00:00:00Z,11,2243,772,3480
1,FRANKLIN ST,2022-03-21T00:00:00Z,12,1917,765,3506
1,FRANKLIN ST,2022-03-28T00:00:00Z,13,1897,1026,3641
1,FRANKLIN ST,2022-04-04T00:00:00Z,14,2514,987,3874
1,FRANKLIN ST,2022-04-11T00:00:00Z,15,2219,831,3709
1,FRANKLIN ST,2022-04-18T00:00:00Z,16,2190,731,3514
