id,datetime,entries,station,linename
A002_R051_02-00-00,2022-05-06T20:00:00Z,7708624,59 ST,456NQRW
A002_R051_02-00-01,2022-05-06T20:00:00Z,6825146,59 ST,456NQRW
A002_R051_02-03-00,2022-05-06T20:00:00Z,1502038,59 ST,456NQRW
A002_R051_02-03-01,2022-05-06T20:00:00Z,1771615,59 ST,456NQRW
A002_R051_02-03-02,2022-05-06T20:00:00Z,179451,59 ST,456NQRW
A002_R051_02-03-03,2022-05-06T20:00:00Z,6291114,59 ST,456NQRW
A002_R051_02-03-04,2022-05-06T20:00:00Z,7687861,59 ST,456NQRW
A002_R051_02-03-05,2022-05-06T20:00:00Z,12400965,59 ST,456NQRW
A002_R051_02-03-06,2022-05-06T20:00:00Z,9651354,59 ST,456NQRW
A002_R051_02-05-00,2022-05-06T20:00:00Z,525966,59 ST,456NQRW
A002_R051_02-06-00,2022-05-06T20:00:00Z,338730,59 ST,456NQRW
A006_R079_00-00-00,2022-05-06T22:00:00Z,4691840,59 ST,456NQRW
A006_R079_00-00-01,2022-05-06T22:00:00Z,5747535,59 ST,456NQRW
A006_R079_00-00-02,2022-05-06T22:00:00Z,6666983,59 ST,456NQRW
A006_R079_00-00-03,2022-05-06T22:00:00Z,3380515,59 ST,456NQRW
A006_R079_00-00-04,2022-05-06T22:00:00Z,176703,59 ST,456NQRW
A006_R079_00-03-00,2022-05-06T22:00:00Z,185664,59 ST,456NQRW
A006_R079_00-03-01,2022-05-06T22:00:00Z,887904,59 ST,456NQRW
A006_R079_00-03-02,2022-05-06T22:00:00Z,1377708,59 ST,456NQRW
A007_R079_01-05-00,2022-05-06T22:00:00Z,4756,59 ST,456NQRW
A007_R079_01-06-00,2022-05-06T22:00:00Z,801500,59 ST,456NQRW
A007_R079_01-06-01,2022-05-06T22:00:00Z,119945279,59 ST,456NQRW
A007_R079_01-06-02,2022-05-06T22:00:00Z,5283756,59 ST,456NQRW
A007_R079_01-06-03,2022-05-06T22:00:00Z,273550,59 ST,456NQRW
A010_R080_00-00-00,2022-05-06T20:00:00Z,5406849,57 ST-7 AV,NQRW
A010_R080_00-00-01,2022-05-06T00:00:00Z,15855093,57 ST-7 AV,NQRW
A010_R080_00-00-02,2022-05-06T00:00:00Z,11599257,57 ST-7 AV,NQRW
A010_R080_00-00-03,2022-05-06T00:00:00Z,3985295,57 ST-7 AV,NQRW
A010_R080_00-00-04,2022-05-06T20:00:00Z,5001870,57 ST-7 AV,NQRW
A010_R080_00-00-05,2022-05-06T20:00:00Z,2562120,57 ST-7 AV,NQRW
A010_R080_00-00-06,2022-05-06T20:00:00Z,20280145,57 ST-7 AV,NQRW
A010_R080_00-00-07,2022-05-06T20:00:00Z,4733068,57 ST-7 AV,NQRW
A011_R080_01-00-00,2022-05-06T20:00:00Z,555221,57 ST-7 AV,NQRW
A011_R080_01-00-01,2022-05-06T20:00:00Z,2790,57 ST-7 AV,NQRW
A011_R080_01-00-02,2022-05-06T20:00:00Z,845658,57 ST-7 AV,NQRW
A011_R080_01-00-03,2022-05-06T20:00:00Z,1248615,57 ST-7 AV,NQRW
A011_R080_01-00-04,2022-05-06T20:00:00Z,4714079,57 ST-7 AV,NQRW
A011_R080_01-03-00,2022-05-06T20:00:00Z,885489679,57 ST-7 AV,NQRW
A011_R080_01-03-01,2022-05-06T20:00:00Z,221837,57 ST-7 AV,NQRW
A011_R080_01-03-02,2022-05-06T20:00:00Z,204630,57 ST-7 AV,NQRW
A011_R080_01-03-03,2022-05-06T20:00:00Z,63028,57 ST-7 AV,NQRW
A011_R080_01-03-04,2022-05-06T20:00:00Z,155674,57 ST-7 AV,NQRW
A011_R080_01-05-00,2022-05-06T20:00:00Z,461737,57 ST-7 AV,NQRW
A013_R081_01-00-00,2022-05-06T20:00:00Z,6300370,49 ST,NQRW
A013_R081_01-03-00,2022-05-06T20:00:00Z,59900,49 ST,NQRW
A013_R081_01-03-01,2022-05-06T20:00:00Z,6613337,49 ST,NQRW
A013_R081_01-03-02,2022-05-06T20:00:00Z,6298778,49 ST,NQRW
A013_R081_01-05-00,2022-05-06T20:00:00Z,1587,49 ST,NQRW
A013_R081_01-06-00,2022-05-06T20:00:00Z,425933,49 ST,NQRW
A013_R081_01-06-01,2022-05-06T20:00:00Z,45570,49 ST,NQRW
A013_R081_01-06-02,2022-05-06T20:00:00Z,760168,49 ST,NQRW
