id,datetime,entries,station,linename,lat,lon
A015_R081_00-00-02,2022-04-29T20:00:00Z,72135,49 ST,NQRW,40.75980197,-73.98420957
A015_R081_00-00-03,2022-04-29T20:00:00Z,9265986,49 ST,NQRW,40.75980197,-73.98420957
A015_R081_00-03-00,2022-04-29T20:00:00Z,7658943,49 ST,NQRW,40.75980197,-73.98420957
A015_R081_00-03-01,2022-04-29T08:00:00Z,317681,49 ST,NQRW,40.75980197,-73.98420957
A016_R081_03-00-00,2022-04-29T20:00:00Z,4203537,49 ST,NQRW,40.75980197,-73.98420957
A016_R081_03-00-01,2022-04-29T20:00:00Z,6189857,49 ST,NQRW,40.75980197,-73.98420957
A016_R081_03-00-02,2022-04-29T20:00:00Z,15694337,49 ST,NQRW,40.75980197,-73.98420957
A016_R081_03-06-00,2022-04-29T20:00:00Z,1379766,49 ST,NQRW,40.75980197,-73.98420957
A016_R081_03-06-01,2022-04-29T20:00:00Z,45386,49 ST,NQRW,40.75980197,-73.98420957
A021_R032_01-00-00,2022-04-29T20:00:00Z,10343330,TIMES SQ-42 ST,1237ACENQRSW,40.75529,-73.987495
A021_R032_01-00-01,2022-04-29T20:00:00Z,4408931,TIMES SQ-42 ST,1237ACENQRSW,40.75529,-73.987495
A021_R032_01-00-02,2022-04-29T20:00:00Z,3083471,TIMES SQ-42 ST,1237ACENQRSW,40.75529,-73.987495
A021_R032_01-00-03,2022-04-29T20:00:00Z,3000196,TIMES SQ-42 ST,1237ACENQRSW,40.75529,-73.987495
A021_R032_01-00-04,2022-04-29T20:00:00Z,2709966,TIMES SQ-42 ST,1237ACENQRSW,40.75529,-73.987495
A021_R032_01-00-05,2022-04-29T20:00:00Z,2065279,TIMES SQ-42 ST,1237ACENQRSW,40.75529,-73.987495
A021_R032_01-00-06,2022-04-29T20:00:00Z,2346366,TIMES SQ-42 ST,1237ACENQRSW,40.75529,-73.987495
A021_R032_01-00-07,2022-04-29T20:00:00Z,3898985,TIMES SQ-42 ST,1237ACENQRSW,40.75529,-73.987495
A022_R022_01-00-00,2022-04-29T20:00:00Z,29282227,34 ST-HERALD SQ,BDFMNQRW,40.7497894,-73.98777189
A022_R022_01-00-01,2022-04-29T20:00:00Z,28802660,34 ST-HERALD SQ,BDFMNQRW,40.7497894,-73.98777189
A022_R022_01-00-02,2022-04-29T20:00:00Z,16971037,34 ST-HERALD SQ,BDFMNQRW,40.7497894,-73.98777189
A022_R022_01-06-00,2022-04-29T20:00:00Z,67858829,34 ST-HERALD SQ,BDFMNQRW,40.7497894,-73.98777189
A022_R022_01-06-01,2022-04-29T20:00:00Z,5616495,34 ST-HERALD SQ,BDFMNQRW,40.7497894,-73.98777189
A025_R023_01-00-00,2022-04-29T20:00:00Z,5930121,34 ST-HERALD SQ,BDFMNQRW,40.7497894,-73.98777189
A025_R023_01-00-01,2022-04-29T20:00:00Z,14700775,34 ST-HERALD SQ,BDFMNQRW,40.7497894,-73.98777189
A025_R023_01-00-02,2022-04-29T20:00:00Z,15556276,34 ST-HERALD SQ,BDFMNQRW,40.7497894,-73.98777189
A025_R023_01-00-03,2022-04-29T20:00:00Z,9408940,34 ST-HERALD SQ,BDFMNQRW,40.7497894,-73.98777189
A025_R023_01-03-00,2022-04-29T20:00:00Z,8857352,34 ST-HERALD SQ,BDFMNQRW,40.7497894,-73.98777189
A025_R023_01-03-01,2022-04-29T20:00:00Z,403705,34 ST-HERALD SQ,BDFMNQRW,40.7497894,-73.98777189
A025_R023_01-03-02,2022-04-29T20:00:00Z,2812493,34 ST-HERALD SQ,BDFMNQRW,40.7497894,-73.98777189
A025_R023_01-06-00,2022-04-29T20:00:00Z,339767,34 ST-HERALD SQ,BDFMNQRW,40.7497894,-73.98777189
A025_R023_01-06-01,2022-04-29T20:00:00Z,16059300,34 ST-HERALD SQ,BDFMNQRW,40.7497894,-73.98777189
A025_R023_01-06-02,2022-04-29T20:00:00Z,616181,34 ST-HERALD SQ,BDFMNQRW,40.7497894,-73.98777189
A027_R082_01-00-00,2022-04-29T20:00:00Z,4056375,28 ST,NRW,40.745454,-73.988698
A027_R082_01-03-00,2022-04-29T20:00:00Z,835729,28 ST,NRW,40.745454,-73.988698
A027_R082_01-03-01,2022-04-29T20:00:00Z,2661591,28 ST,NRW,40.745454,-73.988698
A027_R082_01-03-02,2022-04-29T20:00:00Z,3131921,28 ST,NRW,40.745454,-73.988698
A027_R082_01-03-03,2022-04-29T20:00:00Z,3276540,28 ST,NRW,40.745454,-73.988698
A029_R082_00-00-00,2022-04-29T20:00:00Z,4439907,28 ST,NRW,40.745454,-73.988698
A029_R082_00-00-01,2022-04-29T20:00:00Z,6837166,28 ST,NRW,40.745454,-73.988698
A029_R082_00-03-00,2022-04-29T20:00:00Z,8244618,28 ST,NRW,40.745454,-73.988698
A029_R082_00-03-01,2022-04-29T20:00:00Z,5319998,28 ST,NRW,40.745454,-73.988698
A030_R083_01-00-00,2022-04-29T20:00:00Z,296904,23 ST,NRW,40.74130267,-73.989344
A030_R083_01-00-01,2022-04-29T20:00:00Z,7448651,23 ST,NRW,40.74130267,-73.989344
A030_R083_01-00-02,2022-04-29T20:00:00Z,5626886,23 ST,NRW,40.74130267,-73.989344
A030_R083_01-03-00,2022-04-29T20:00:00Z,6984927,23 ST,NRW,40.74130267,-73.989344
A030_R083_01-03-01,2022-04-29T20:00:00Z,10640988,23 ST,NRW,40.74130267,-73.989344
A030_R083_01-03-02,2022-04-29T20:00:00Z,12205820,23 ST,NRW,40.74130267,-73.989344
A030_R083_01-06-00,2022-04-29T20:00:00Z,9331813,23 ST,NRW,40.74130267,-73.989344
A030_R083_01-06-01,2022-04-29T20:00:00Z,86264064,23 ST,NRW,40.74130267,-73.989344
A031_R083_00-00-00,2022-04-29T20:00:00Z,2195402,23 ST,NRW,40.74130267,-73.989344
A031_R083_00-00-01,2022-04-29T20:00:00Z,179302,23 ST,NRW,40.74130267,-73.989344
A031_R083_00-00-02,2022-04-29T20:00:00Z,7039179,23 ST,NRW,40.74130267,-73.989344
A031_R083_00-03-00,2022-04-29T20:00:00Z,3012160,23 ST,NRW,40.74130267,-73.989344
A031_R083_00-03-01,2022-04-29T20:00:00Z,4354157,23 ST,NRW,40.74130267,-73.989344
A031_R083_00-03-02,2022-04-29T20:00:00Z,343572,23 ST,NRW,40.74130267,-73.989344
A033_R170_02-00-00,2022-04-29T21:00:00Z,456047,14 ST-UNION SQ,LNQR456W,40.73476331,-73.99066977
A033_R170_02-00-01,2022-04-29T21:00:00Z,2744280,14 ST-UNION SQ,LNQR456W,40.73476331,-73.99066977
A033_R170_02-00-02,2022-04-29T21:00:00Z,15450652,14 ST-UNION SQ,LNQR456W,40.73476331,-73.99066977
A033_R170_02-00-03,2022-04-29T21:00:00Z,7908753,14 ST-UNION SQ,LNQR456W,40.73476331,-73.99066977
A033_R170_02-00-04,2022-04-29T21:00:00Z,130495,14 ST-UNION SQ,LNQR456W,40.73476331,-73.99066977
A033_R170_02-00-05,2022-04-29T21:00:00Z,752074,14 ST-UNION SQ,LNQR456W,40.73476331,-73.99066977
A033_R170_02-06-00,2022-04-29T21:00:00Z,794236,14 ST-UNION SQ,LNQR456W,40.73476331,-73.99066977
A033_R170_02-06-01,2022-04-29T21:00:00Z,71454157,14 ST-UNION SQ,LNQR456W,40.73476331,-73.99066977
A034_R170_03-00-00,2022-04-29T21:00:00Z,2397140,14 ST-UNION SQ,LNQR456W,40.73476331,-73.99066977
A034_R170_03-00-01,2022-04-29T21:00:00Z,1385253,14 ST-UNION SQ,LNQR456W,40.73476331,-73.99066977
A034_R170_03-00-02,2022-04-29T21:00:00Z,5392873,14 ST-UNION SQ,LNQR456W,40.73476331,-73.99066977
A034_R170_03-03-00,2022-04-29T21:00:00Z,513676,14 ST-UNION SQ,LNQR456W,40.73476331,-73.99066977
A034_R170_03-03-01,2022-04-29T21:00:00Z,7254679,14 ST-UNION SQ,LNQR456W,40.73476331,-73.99066977
A034_R170_03-03-02,2022-04-29T21:00:00Z,14538813,14 ST-UNION SQ,LNQR456W,40.73476331,-73.99066977
A034_R170_03-05-00,2022-04-29T21:00:00Z,524464,14 ST-UNION SQ,LNQR456W,40.73476331,-73.99066977
A034_R170_03-05-01,2022-04-29T21:00:00Z,455340,14 ST-UNION SQ,LNQR456W,40.73476331,-73.99066977
A034_R170_03-05-02,2022-04-29T21:00:00Z,525005,14 ST-UNION SQ,LNQR456W,40.73476331,-73.99066977
A034_R170_03-05-03,2022-04-29T21:00:00Z,539167,14 ST-UNION SQ,LNQR456W,40.73476331,-73.99066977
A035_R170_00-00-00,2022-04-29T21:00:00Z,261452,14 ST-UNION SQ,LNQR456W,40.73476331,-73.99066977
A035_R170_00-00-01,2022-04-29T21:00:00Z,258094,14 ST-UNION SQ,LNQR456W,40.73476331,-73.99066977
A035_R170_00-00-02,2022-04-29T21:00:00Z,1304559,14 ST-UNION SQ,LNQR456W,40.73476331,-73.99066977
A035_R170_00-00-03,2022-04-29T21:00:00Z,5014222,14 ST-UNION SQ,LNQR456W,40.73476331,-73.99066977
A035_R170_00-00-04,2022-04-29T21:00:00Z,4068357,14 ST-UNION SQ,LNQR456W,40.73476331,-73.99066977
A037_R170_05-00-00,2022-04-29T21:00:00Z,1702943,14 ST-UNION SQ,LNQR456W,40.73476331,-73.99066977
A037_R170_05-00-01,2022-04-29T21:00:00Z,6619091,14 ST-UNION SQ,LNQR456W,40.73476331,-73.99066977
A037_R170_05-00-02,2022-04-29T21:00:00Z,8562621,14 ST-UNION SQ,LNQR456W,40.73476331,-73.99066977
A037_R170_05-00-03,2022-04-29T21:00:00Z,26975983,14 ST-UNION SQ,LNQR456W,40.73476331,-73.99066977
A038_R085_00-00-00,2022-04-29T20:00:00Z,4173859,8 ST-NYU,NRW,40.730465,-73.992508
A038_R085_00-00-01,2022-04-29T20:00:00Z,2295585,8 ST-NYU,NRW,40.730465,-73.992508
A038_R085_00-00-02,2022-04-29T20:00:00Z,14470575,8 ST-NYU,NRW,40.730465,-73.992508
A038_R085_00-00-03,2022-04-29T20:00:00Z,5137829,8 ST-NYU,NRW,40.730465,-73.992508
A038_R085_00-00-04,2022-04-29T20:00:00Z,6093702,8 ST-NYU,NRW,40.730465,-73.992508
A038_R085_00-03-00,2022-04-29T20:00:00Z,233,8 ST-NYU,NRW,40.730465,-73.992508
A038_R085_00-03-01,2022-04-29T20:00:00Z,124780,8 ST-NYU,NRW,40.730465,-73.992508
A038_R085_00-03-02,2022-04-29T20:00:00Z,202797,8 ST-NYU,NRW,40.730465,-73.992508
A039_R085_01-00-00,2022-04-29T20:00:00Z,89487,8 ST-NYU,NRW,40.730465,-73.992508
A039_R085_01-00-01,2022-04-29T20:00:00Z,457753,8 ST-NYU,NRW,40.730465,-73.992508
A039_R085_01-00-02,2022-04-29T20:00:00Z,2912716,8 ST-NYU,NRW,40.730465,-73.992508
A039_R085_01-03-00,2022-04-29T20:00:00Z,2979296,8 ST-NYU,NRW,40.730465,-73.992508
A039_R085_01-03-01,2022-04-29T20:00:00Z,59846,8 ST-NYU,NRW,40.730465,-73.992508
A039_R085_01-06-00,2022-04-29T20:00:00Z,69166580,8 ST-NYU,NRW,40.730465,-73.992508
A041_R086_00-00-00,2022-04-29T20:00:00Z,12902461,PRINCE ST,NRW,40.72432867,-73.997702
A041_R086_00-00-01,2022-04-29T20:00:00Z,14591563,PRINCE ST,NRW,40.72432867,-73.997702
A041_R086_00-00-02,2022-04-29T20:00:00Z,14606620,PRINCE ST,NRW,40.72432867,-73.997702
A041_R086_00-00-03,2022-04-29T20:00:00Z,13804337,PRINCE ST,NRW,40.72432867,-73.997702
A041_R086_00-00-04,2022-04-29T20:00:00Z,9555589,PRINCE ST,NRW,40.72432867,-73.997702
A042_R086_01-00-00,2022-04-29T20:00:00Z,1440580,PRINCE ST,NRW,40.72432867,-73.997702
A042_R086_01-00-01,2022-04-29T20:00:00Z,2303902,PRINCE ST,NRW,40.72432867,-73.997702
A042_R086_01-00-02,2022-04-29T20:00:00Z,2263285,PRINCE ST,NRW,40.72432867,-73.997702
A042_R086_01-00-03,2022-04-29T20:00:00Z,5387128,PRINCE ST,NRW,40.72432867,-73.997702
A042_R086_01-00-04,2022-04-29T20:00:00Z,6138,PRINCE ST,NRW,40.72432867,-73.997702
A043_R462_00-00-00,2022-04-29T21:00:00Z,371923350,CANAL ST,JNQRZ6W,40.71817388,-73.99982639
A043_R462_00-00-01,2022-04-29T21:00:00Z,355939974,CANAL ST,JNQRZ6W,40.71817388,-73.99982639
A043_R462_00-00-02,2022-04-29T21:00:00Z,14809302,CANAL ST,JNQRZ6W,40.71817388,-73.99982639
A043_R462_00-03-00,2022-04-29T21:00:00Z,5836523,CANAL ST,JNQRZ6W,40.71817388,-73.99982639
A043_R462_00-03-01,2022-04-29T21:00:00Z,5418480,CANAL ST,JNQRZ6W,40.71817388,-73.99982639
A043_R462_00-03-02,2022-04-29T21:00:00Z,4418540,CANAL ST,JNQRZ6W,40.71817388,-73.99982639
A043_R462_00-03-03,2022-04-29T21:00:00Z,91162,CANAL ST,JNQRZ6W,40.71817388,-73.99982639
A043_R462_00-03-04,2022-04-29T21:00:00Z,9038070,CANAL ST,JNQRZ6W,40.71817388,-73.99982639
A043_R462_00-06-00,2022-04-29T21:00:00Z,1365341,CANAL ST,JNQRZ6W,40.71817388,-73.99982639
A043_R462_00-06-01,2022-04-29T21:00:00Z,4372876,CANAL ST,JNQRZ6W,40.71817388,-73.99982639
